,ID,label,recived,sent,freight_flow
481,iguape,iguape,10.0,0.0,10.0
482,murutinga do sul,murutinga do sul,2.0,0.0,2.0
483,macedonia,macedonia,4.0,0.0,4.0
484,engenheiro balduino,engenheiro balduino,3.0,0.0,3.0
485,ibira,ibira,6.0,0.0,6.0
486,santa barbara d'oeste,santa barbara d'oeste,130.0,150.0,280.0
487,miguelopolis,miguelopolis,13.0,0.0,13.0
488,blumenau,blumenau,0.0,4.0,4.0
489,florida paulista,florida paulista,3.0,0.0,3.0
490,martinopolis,martinopolis,6.0,0.0,6.0
491,quintana,quintana,3.0,0.0,3.0
492,pedreira,pedreira,25.0,443.0,468.0
493,adolfo,adolfo,3.0,0.0,3.0
494,sao paluo,sao paluo,0.0,3.0,3.0
495,campos do jordao,campos do jordao,18.0,0.0,18.0
496,jamaica,jamaica,1.0,0.0,1.0
497,limeira,limeira,205.0,549.0,754.0
498,tatui,tatui,67.0,54.0,121.0
499,paraguacu paulista,paraguacu paulista,18.0,0.0,18.0
500,glicerio,glicerio,2.0,0.0,2.0
501,cajamar,cajamar,119.0,86.0,205.0
502,bananal,bananal,7.0,0.0,7.0
503,cosmorama,cosmorama,9.0,0.0,9.0
504,jacare,jacare,8.0,0.0,8.0
505,rosana,rosana,2.0,0.0,2.0
506,jundiai,jundiai,591.0,150.0,741.0
507,aguas de sao pedro,aguas de sao pedro,1.0,0.0,1.0
508,sao jose do barreiro,sao jose do barreiro,2.0,0.0,2.0
509,duartina,duartina,11.0,0.0,11.0
510,novais,novais,1.0,0.0,1.0
511,itapira,itapira,45.0,0.0,45.0
512,canitar,canitar,2.0,0.0,2.0
513,conchas,conchas,6.0,0.0,6.0
514,bocaina,bocaina,4.0,0.0,4.0
515,capivari,capivari,23.0,103.0,126.0
516,bastos,bastos,15.0,0.0,15.0
517,lagoinha,lagoinha,3.0,0.0,3.0
518,salto,salto,85.0,714.0,799.0
519,bofete,bofete,6.0,1.0,7.0
520,pontal,pontal,11.0,0.0,11.0
521,jardinopolis,jardinopolis,12.0,0.0,12.0
522,vargem,vargem,2.0,0.0,2.0
523,salto de pirapora,salto de pirapora,12.0,0.0,12.0
524,echapora,echapora,3.0,22.0,25.0
525,piracaia,piracaia,24.0,0.0,24.0
526,gaviao peixoto,gaviao peixoto,1.0,0.0,1.0
527,catanduva,catanduva,63.0,27.0,90.0
528,taiacu,taiacu,1.0,0.0,1.0
529,santa salete,santa salete,1.0,0.0,1.0
530,praia grande,praia grande,318.0,789.0,1107.0
531,cravinhos,cravinhos,33.0,6.0,39.0
532,taciba,taciba,1.0,0.0,1.0
533,pereiras,pereiras,1.0,0.0,1.0
534,rio claro,rio claro,173.0,72.0,245.0
535,araraquara,araraquara,156.0,105.0,261.0
